GivenName,Surname,Name,DisplayName,Department,Subdepartment,Description,Reports To,Site,samAccountName,UserPrincipalName,EmailAddress,Office,OfficePhone,EmployeeNumber,Path
Daniel,Craig,Daniel Craig,Daniel Craig,Head Office,HR,HR Assistant,VP - Human Resources,Head Office,Daniel.Craig,Daniel.Craig@raudz.com,Daniel.Craig@raudz.com,C210,4520,20220011,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Jennifer,Lawrence,Jennifer Lawrence,Jennifer Lawrence,Head Office,HR,HR Assistant,VP - Human Resources,Head Office,Jennifer.Lawrence,Jennifer.Lawrence@raudz.com,Jennifer.Lawrence@raudz.com,C211,4521,20220012,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Will,Smith,Will Smith,Will Smith,Head Office,HR,HR Assistant,VP - Human Resources,Head Office,Will.Smith,Will.Smith@raudz.com,Will.Smith@raudz.com,C212,4522,20220013,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Amy,Adams,Amy Adams,Amy Adams,Head Office,Administration,Receptionist,VP - Human Resources,Head Office,Amy.Adams,Amy.Adams@raudz.com,Amy.Adams@raudz.com,N/A,4523,20220014,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Christian,Bale,Christian Bale,Christian Bale,Head Office,Administration,Admin Assistant,VP - Human Resources,Head Office,Christian.Bale,Christian.Bale@raudz.com,Christian.Bale@raudz.com,C214,4524,20220015,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Cate,Blanchett,Cate Blanchett,Cate Blanchett,Head Office,IT,Senior Network Administrator,CIO,Head Office,Cate.Blanchett,Cate.Blanchett@raudz.com,Cate.Blanchett@raudz.com,C215,4525,20220016,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Matt,Damon,Matt Damon,Matt Damon,Head Office,IT,Junior Network Administrator,CIO,Head Office,Matt.Damon,Matt.Damon@raudz.com,Matt.Damon@raudz.com,C216,4526,20220017,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Ryan,Gosling,Ryan Gosling,Ryan Gosling,Head Office,IT,Technician,CIO,Head Office,Ryan.Gosling,Ryan.Gosling@raudz.com,Ryan.Gosling@raudz.com,C217,4527,20220018,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Bradley,Cooper,Bradley Cooper,Bradley Cooper,Head Office,IT,Technician,CIO,Head Office,Bradley.Cooper,Bradley.Cooper@raudz.com,Bradley.Cooper@raudz.com,C218,4528,20220019,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Jane,Fonda,Jane Fonda,Jane Fonda,RRK,Front of House,Hostess,Restaurant Manager,RauDZ Regional Kitchen,Jane.Fonda,Jane.Fonda@raudz.com,Jane.Fonda@raudz.com,N/A,N/A,20220020,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Sally,Field,Sally Field,Sally Field,RRK,Front of House,Hostess,Restaurant Manager,RauDZ Regional Kitchen,Sally.Field,Sally.Field@raudz.com,Sally.Field@raudz.com,N/A,N/A,20220021,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Julie,Andrews,Julie Andrews,Julie Andrews,RRK,Front of House,Bartender,Restaurant Manager,RauDZ Regional Kitchen,Julie.Andrews,Julie.Andrews@raudz.com,Julie.Andrews@raudz.com,N/A,N/A,20220022,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Shirley,Temple,Shirley Temple,Shirley Temple,RRK,Front of House,Bartender,Restaurant Manager,RauDZ Regional Kitchen,Shirley.Temple,Shirley.Temple@raudz.com,Shirley.Temple@raudz.com,N/A,N/A,20220023,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Angelina,Jolie,Angelina Jolie,Angelina Jolie,RRK,Front of House,Server,Restaurant Manager,RauDZ Regional Kitchen,Angelina.Jolie,Angelina.Jolie@raudz.com,Angelina.Jolie@raudz.com,N/A,N/A,20220024,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Sandra,Bullock,Sandra Bullock,Sandra Bullock,RRK,Front of House,Server,Restaurant Manager,RauDZ Regional Kitchen,Sandra.Bullock,Sandra.Bullock@raudz.com,Sandra.Bullock@raudz.com,N/A,N/A,20220025,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Paul,Newman,Paul Newman,Paul Newman,RRK,Front of House,Server,Restaurant Manager,RauDZ Regional Kitchen,Paul.Newman,Paul.Newman@raudz.com,Paul.Newman@raudz.com,N/A,N/A,20220026,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Jeff,Bridges,Jeff Bridges,Jeff Bridges,RRK,Front of House,Server,Restaurant Manager,RauDZ Regional Kitchen,Jeff.Bridges,Jeff.Bridges@raudz.com,Jeff.Bridges@raudz.com,N/A,N/A,20220027,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Don,Cheadle,Don Cheadle,Don Cheadle,RRK,Front of House,Server,Restaurant Manager,RauDZ Regional Kitchen,Don.Cheadle,Don.Cheadle@raudz.com,Don.Cheadle@raudz.com,N/A,N/A,20220028,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Vin,Diesel,Vin Diesel,Vin Diesel,RRK,Front of House,Server,Restaurant Manager,RauDZ Regional Kitchen,Vin.Diesel,Vin.Diesel@raudz.com,Vin.Diesel@raudz.com,N/A,N/A,20220029,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Gwyneth,Paltrow,Gwyneth Paltrow,Gwyneth Paltrow,RRK,Front of House,Server,Restaurant Manager,RauDZ Regional Kitchen,Gwyneth.Paltrow,Gwyneth.Paltrow@raudz.com,Gwyneth.Paltrow@raudz.com,N/A,N/A,20220030,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Marisa,Tomei,Marisa Tomei,Marisa Tomei,RRK,Front of House,Busser,Restaurant Manager,RauDZ Regional Kitchen,Marisa.Tomei,Marisa.Tomei@raudz.com,Marisa.Tomei@raudz.com,N/A,N/A,20220031,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Michelle,Pfeiffer,Michelle Pfeiffer,Michelle Pfeiffer,RRK,Front of House,Busser,Restaurant Manager,RauDZ Regional Kitchen,Michelle.Pfeiffer,Michelle.Pfeiffer@raudz.com,Michelle.Pfeiffer@raudz.com,N/A,N/A,20220032,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Jennifer,Connelly,Jennifer Connelly,Jennifer Connelly,RRK,Front of House,Bar-Back,Restaurant Manager,RauDZ Regional Kitchen,Jennifer.Connelly,Jennifer.Connelly@raudz.com,Jennifer.Connelly@raudz.com,N/A,N/A,20220033,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Jack,Nicholson,Jack Nicholson,Jack Nicholson,RRK,Front of House,Bar-Back,Restaurant Manager,RauDZ Regional Kitchen,Jack.Nicholson,Jack.Nicholson@raudz.com,Jack.Nicholson@raudz.com,N/A,N/A,20220034,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Leonardo,DiCaprio,Leonardo DiCaprio,Leonardo DiCaprio,RRK,Back of House,Sous Chef,Restaurant Manager,RauDZ Regional Kitchen,Leonardo.DiCaprio,Leonardo.DiCaprio@raudz.com,Leonardo.DiCaprio@raudz.com,N/A,N/A,20220035,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Morgan,Freeman,Morgan Freeman,Morgan Freeman,RRK,Back of House,Sous Chef,Restaurant Manager,RauDZ Regional Kitchen,Morgan.Freeman,Morgan.Freeman@raudz.com,Morgan.Freeman@raudz.com,N/A,N/A,20220036,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Robert,DeNiro,Robert DeNiro,Robert DeNiro,RRK,Back of House,Line Cook,Restaurant Manager,RauDZ Regional Kitchen,Robert.DeNiro,Robert.DeNiro@raudz.com,Robert.DeNiro@raudz.com,N/A,N/A,20220037,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Daniel,Day-Lewis,Daniel Day-Lewis,Daniel Day-Lewis,RRK,Back of House,Line Cook,Restaurant Manager,RauDZ Regional Kitchen,Daniel.Day-Lewis,Daniel.Day-Lewis@raudz.com,Daniel.Day-Lewis@raudz.com,N/A,N/A,20220038,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Anthony,Hopkins,Anthony Hopkins,Anthony Hopkins,RRK,Back of House,Line Cook,Restaurant Manager,RauDZ Regional Kitchen,Anthony.Hopkins,Anthony.Hopkins@raudz.com,Anthony.Hopkins@raudz.com,N/A,N/A,20220039,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Benicio,delToro,Benicio delToro,Benicio delToro,RRK,Back of House,Warewasher,Restaurant Manager,RauDZ Regional Kitchen,Benicio.delToro,Benicio.delToro@raudz.com,Benicio.delToro@raudz.com,N/A,N/A,20220040,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Peter,Dinklage,Peter Dinklage,Peter Dinklage,RRK,Back of House,Warewasher,Restaurant Manager,RauDZ Regional Kitchen,Peter.Dinklage,Peter.Dinklage@raudz.com,Peter.Dinklage@raudz.com,N/A,N/A,20220041,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Julia,Roberts,Julia Roberts,Julia Roberts,MBB,Front of House,Hostess,Restaurant Manager,Micro Bar & Bistro,Julia.Roberts,Julia.Roberts@raudz.com,Julia.Roberts@raudz.com,N/A,N/A,20220042,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Charlize,Theron,Charlize Theron,Charlize Theron,MBB,Front of House,Hostess,Restaurant Manager,Micro Bar & Bistro,Charlize.Theron,Charlize.Theron@raudz.com,Charlize.Theron@raudz.com,N/A,N/A,20220043,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Hilary,Swank,Hilary Swank,Hilary Swank,MBB,Front of House,Bartender,Restaurant Manager,Micro Bar & Bistro,Hilary.Swank,Hilary.Swank@raudz.com,Hilary.Swank@raudz.com,N/A,N/A,20220044,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Nicole,Kidman,Nicole Kidman,Nicole Kidman,MBB,Front of House,Bartender,Restaurant Manager,Micro Bar & Bistro,Nicole.Kidman,Nicole.Kidman@raudz.com,Nicole.Kidman@raudz.com,N/A,N/A,20220045,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Brie,Larson,Brie Larson,Brie Larson,MBB,Front of House,Server,Restaurant Manager,Micro Bar & Bistro,Brie.Larson,Brie.Larson@raudz.com,Brie.Larson@raudz.com,N/A,N/A,20220046,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Lupita,Nyongo,Lupita Nyongo,Lupita Nyongo,MBB,Front of House,Server,Restaurant Manager,Micro Bar & Bistro,Lupita.Nyongo,Lupita.Nyongo@raudz.com,Lupita.Nyongo@raudz.com,N/A,N/A,20220047,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Natalie,Portman,Natalie Portman,Natalie Portman,MBB,Front of House,Server,Restaurant Manager,Micro Bar & Bistro,Natalie.Portman,Natalie.Portman@raudz.com,Natalie.Portman@raudz.com,N/A,N/A,20220048,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Margot,Robbie,Margot Robbie,Margot Robbie,MBB,Front of House,Server,Restaurant Manager,Micro Bar & Bistro,Margot.Robbie,Margot.Robbie@raudz.com,Margot.Robbie@raudz.com,N/A,N/A,20220049,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Elvis,Presley,Elvis Presley,Elvis Presley,MBB,Front of House,Server,Restaurant Manager,Micro Bar & Bistro,Elvis.Presley,Elvis.Presley@raudz.com,Elvis.Presley@raudz.com,N/A,N/A,20220050,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Roger,Waters,Roger Waters,Roger Waters,MBB,Front of House,Server,Restaurant Manager,Micro Bar & Bistro,Roger.Waters,Roger.Waters@raudz.com,Roger.Waters@raudz.com,N/A,N/A,20220051,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Alice,Cooper,Alice Cooper,Alice Cooper,MBB,Front of House,Server,Restaurant Manager,Micro Bar & Bistro,Alice.Cooper,Alice.Cooper@raudz.com,Alice.Cooper@raudz.com,N/A,N/A,20220052,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Aretha,Franklin,Aretha Franklin,Aretha Franklin,MBB,Front of House,Busser,Restaurant Manager,Micro Bar & Bistro,Aretha.Franklin,Aretha.Franklin@raudz.com,Aretha.Franklin@raudz.com,N/A,N/A,20220053,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Axl,Rose,Axl Rose,Axl Rose,MBB,Front of House,Busser,Restaurant Manager,Micro Bar & Bistro,Axl.Rose,Axl.Rose@raudz.com,Axl.Rose@raudz.com,N/A,N/A,20220054,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Bob,Dylan,Bob Dylan,Bob Dylan,MBB,Front of House,Bar-Back,Restaurant Manager,Micro Bar & Bistro,Bob.Dylan,Bob.Dylan@raudz.com,Bob.Dylan@raudz.com,N/A,N/A,20220055,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Bob,Marley,Bob Marley,Bob Marley,MBB,Front of House,Bar-Back,Restaurant Manager,Micro Bar & Bistro,Bob.Marley,Bob.Marley@raudz.com,Bob.Marley@raudz.com,N/A,N/A,20220056,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Bruce,Springsteen,Bruce Springsteen,Bruce Springsteen,MBB,Back of House,Sous Chef,Restaurant Manager,Micro Bar & Bistro,Bruce.Springsteen,Bruce.Springsteen@raudz.com,Bruce.Springsteen@raudz.com,N/A,N/A,20220057,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Eddie,Vedder,Eddie Vedder,Eddie Vedder,MBB,Back of House,Sous Chef,Restaurant Manager,Micro Bar & Bistro,Eddie.Vedder,Eddie.Vedder@raudz.com,Eddie.Vedder@raudz.com,N/A,N/A,20220058,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Kurt,Cobain,Kurt Cobain,Kurt Cobain,MBB,Back of House,Line Cook,Restaurant Manager,Micro Bar & Bistro,Kurt.Cobain,Kurt.Cobain@raudz.com,Kurt.Cobain@raudz.com,N/A,N/A,20220059,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Dave,Grohl,Dave Grohl,Dave Grohl,MBB,Back of House,Line Cook,Restaurant Manager,Micro Bar & Bistro,Dave.Grohl,Dave.Grohl@raudz.com,Dave.Grohl@raudz.com,N/A,N/A,20220060,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
David,Bowie,David Bowie,David Bowie,MBB,Back of House,Line Cook,Restaurant Manager,Micro Bar & Bistro,David.Bowie,David.Bowie@raudz.com,David.Bowie@raudz.com,N/A,N/A,20220061,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Elton,John,Elton John,Elton John,MBB,Back of House,Warewasher,Restaurant Manager,Micro Bar & Bistro,Elton.John,Elton.John@raudz.com,Elton.John@raudz.com,N/A,N/A,20220062,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Emin,Em,Emin Em,Emin Em,MBB,Back of House,Warewasher,Restaurant Manager,Micro Bar & Bistro,Emin.Em,Emin.Em@raudz.com,Emin.Em@raudz.com,N/A,N/A,20220063,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Chuck,Berry,Chuck Berry,Chuck Berry,SMD,Front of House,Host,Restaurant Manager,Sunny's Modern Diner,Chuck.Berry,Chuck.Berry@raudz.com,Chuck.Berry@raudz.com,N/A,N/A,20220064,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Jimmy,Cliff,Jimmy Cliff,Jimmy Cliff,SMD,Front of House,Host,Restaurant Manager,Sunny's Modern Diner,Jimmy.Cliff,Jimmy.Cliff@raudz.com,Jimmy.Cliff@raudz.com,N/A,N/A,20220065,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Freddy,Mercury,Freddy Mercury,Freddy Mercury,SMD,Front of House,Host,Restaurant Manager,Sunny's Modern Diner,Freddy.Mercury,Freddy.Mercury@raudz.com,Freddy.Mercury@raudz.com,N/A,N/A,20220066,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Gwen,Stefani,Gwen Stefani,Gwen Stefani,SMD,Front of House,Hostess,Restaurant Manager,Sunny's Modern Diner,Gwen.Stefani,Gwen.Stefani@raudz.com,Gwen.Stefani@raudz.com,N/A,N/A,20220067,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Gene,Simmons,Gene Simmons,Gene Simmons,SMD,Front of House,Server,Restaurant Manager,Sunny's Modern Diner,Gene.Simmons,Gene.Simmons@raudz.com,Gene.Simmons@raudz.com,N/A,N/A,20220068,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Paul,Stanley,Paul Stanley,Paul Stanley,SMD,Front of House,Server,Restaurant Manager,Sunny's Modern Diner,Paul.Stanley,Paul.Stanley@raudz.com,Paul.Stanley@raudz.com,N/A,N/A,20220069,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Jerry,Garcia,Jerry Garcia,Jerry Garcia,SMD,Front of House,Server,Restaurant Manager,Sunny's Modern Diner,Jerry.Garcia,Jerry.Garcia@raudz.com,Jerry.Garcia@raudz.com,N/A,N/A,20220070,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Otis,Redding,Otis Redding,Otis Redding,SMD,Front of House,Server,Restaurant Manager,Sunny's Modern Diner,Otis.Redding,Otis.Redding@raudz.com,Otis.Redding@raudz.com,N/A,N/A,20220071,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Neil,Young,Neil Young,Neil Young,SMD,Front of House,Server,Restaurant Manager,Sunny's Modern Diner,Neil.Young,Neil.Young@raudz.com,Neil.Young@raudz.com,N/A,N/A,20220072,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Steven,Tyler,Steven Tyler,Steven Tyler,SMD,Front of House,Server,Restaurant Manager,Sunny's Modern Diner,Steven.Tyler,Steven.Tyler@raudz.com,Steven.Tyler@raudz.com,N/A,N/A,20220073,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Tina,Turner,Tina Turner,Tina Turner,SMD,Front of House,Server,Restaurant Manager,Sunny's Modern Diner,Tina.Turner,Tina.Turner@raudz.com,Tina.Turner@raudz.com,N/A,N/A,20220074,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Stevie,Nicks,Stevie Nicks,Stevie Nicks,SMD,Front of House,Busser,Restaurant Manager,Sunny's Modern Diner,Stevie.Nicks,Stevie.Nicks@raudz.com,Stevie.Nicks@raudz.com,N/A,N/A,20220075,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Roger,Daltrey,Roger Daltrey,Roger Daltrey,SMD,Front of House,Busser,Restaurant Manager,Sunny's Modern Diner,Roger.Daltrey,Roger.Daltrey@raudz.com,Roger.Daltrey@raudz.com,N/A,N/A,20220076,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Sid,Vicious,Sid Vicious,Sid Vicious,SMD,Front of House,Busser,Restaurant Manager,Sunny's Modern Diner,Sid.Vicious,Sid.Vicious@raudz.com,Sid.Vicious@raudz.com,N/A,N/A,20220077,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Sinead,OConnor,Sinead OConnor,Sinead OConnor,SMD,Front of House,Busser,Restaurant Manager,Sunny's Modern Diner,Sinead.OConnor,Sinead.OConnor@raudz.com,Sinead.OConnor@raudz.com,N/A,N/A,20220078,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
The,Edge,The Edge,The Edge,SMD,Back of House,Sous Chef,Restaurant Manager,Sunny's Modern Diner,The.Edge,The.Edge@raudz.com,The.Edge@raudz.com,N/A,N/A,20220079,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Tom,Petty,Tom Petty,Tom Petty,SMD,Back of House,Sous Chef,Restaurant Manager,Sunny's Modern Diner,Tom.Petty,Tom.Petty@raudz.com,Tom.Petty@raudz.com,N/A,N/A,20220080,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Van,Morrison,Van Morrison,Van Morrison,SMD,Back of House,Line Cook,Restaurant Manager,Sunny's Modern Diner,Van.Morrison,Van.Morrison@raudz.com,Van.Morrison@raudz.com,N/A,N/A,20220081,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Joan,Jett,Joan Jett,Joan Jett,SMD,Back of House,Line Cook,Restaurant Manager,Sunny's Modern Diner,Joan.Jett,Joan.Jett@raudz.com,Joan.Jett@raudz.com,N/A,N/A,20220082,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
John,Fogerty,John Fogerty,John Fogerty,SMD,Back of House,Line Cook,Restaurant Manager,Sunny's Modern Diner,John.Fogerty,John.Fogerty@raudz.com,John.Fogerty@raudz.com,N/A,N/A,20220083,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
John,Lennon,John Lennon,John Lennon,SMD,Back of House,Warewasher,Restaurant Manager,Sunny's Modern Diner,John.Lennon,John.Lennon@raudz.com,John.Lennon@raudz.com,N/A,N/A,20220084,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Janis,Joplin,Janis Joplin,Janis Joplin,SMD,Back of House,Warewasher,Restaurant Manager,Sunny's Modern Diner,Janis.Joplin,Janis.Joplin@raudz.com,Janis.Joplin@raudz.com,N/A,N/A,20220085,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Jacques,Lennon,Jacques Lennon,Jacques Lennon,TOT,Front of House,Host,Restaurant Manager,The Okanagan Table,Jacques.Lennon,Jacques.Lennon@raudz.com,Jacques.Lennon@raudz.com,N/A,N/A,20220086,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Peter,Gabriel,Peter Gabriel,Peter Gabriel,TOT,Front of House,Host,Restaurant Manager,The Okanagan Table,Peter.Gabriel,Peter.Gabriel@raudz.com,Peter.Gabriel@raudz.com,N/A,N/A,20220087,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Carlos,Santana,Carlos Santana,Carlos Santana,TOT,Front of House,Host,Restaurant Manager,The Okanagan Table,Carlos.Santana,Carlos.Santana@raudz.com,Carlos.Santana@raudz.com,N/A,N/A,20220088,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Buddy,Holly,Buddy Holly,Buddy Holly,TOT,Front of House,Hostess,Restaurant Manager,The Okanagan Table,Buddy.Holly,Buddy.Holly@raudz.com,Buddy.Holly@raudz.com,N/A,N/A,20220089,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Ma,Donna,Ma Donna,Ma Donna,TOT,Front of House,Server,Restaurant Manager,The Okanagan Table,Ma.Donna,Ma.Donna@raudz.com,Ma.Donna@raudz.com,N/A,N/A,20220090,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Don,Henley,Don Henley,Don Henley,TOT,Front of House,Server,Restaurant Manager,The Okanagan Table,Don.Henley,Don.Henley@raudz.com,Don.Henley@raudz.com,N/A,N/A,20220091,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Eddie,VanHalen,Eddie VanHalen,Eddie VanHalen,TOT,Front of House,Server,Restaurant Manager,The Okanagan Table,Eddie.VanHalen,Eddie.VanHalen@raudz.com,Eddie.VanHalen@raudz.com,N/A,N/A,20220092,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
James,Lennon,James Lennon,James Lennon,TOT,Front of House,Server,Restaurant Manager,The Okanagan Table,James.Lennon,James.Lennon@raudz.com,James.Lennon@raudz.com,N/A,N/A,20220093,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Mick,Jagger,Mick Jagger,Mick Jagger,TOT,Front of House,Server,Restaurant Manager,The Okanagan Table,Mick.Jagger,Mick.Jagger@raudz.com,Mick.Jagger@raudz.com,N/A,N/A,20220094,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Liam,Gallagher,Liam Gallagher,Liam Gallagher,TOT,Front of House,Server,Restaurant Manager,The Okanagan Table,Liam.Gallagher,Liam.Gallagher@raudz.com,Liam.Gallagher@raudz.com,N/A,N/A,20220095,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Frank,Zappa,Frank Zappa,Frank Zappa,TOT,Front of House,Server,Restaurant Manager,The Okanagan Table,Frank.Zappa,Frank.Zappa@raudz.com,Frank.Zappa@raudz.com,N/A,N/A,20220096,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Dwayne,Johnson,Dwayne Johnson,Dwayne Johnson,TOT,Front of House,Busser,Restaurant Manager,The Okanagan Table,Dwayne.Johnson,Dwayne.Johnson@raudz.com,Dwayne.Johnson@raudz.com,N/A,N/A,20220097,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
